index,transaction,internalid
217,OSF-BRSP NFS-e-110,3557279
218,OSF-BRSP NFS-e-111,3557381
219,OSF-BRSP NFS-e-115,3559006
220,OSF-BRSP NFS-e-114,3557619
221,OSF-BRSP NFS-e-116,3558909
222,OSF-BRSP NFS-e-91,3502777
223,OSF-BRSP NFS-e-85,3502550
224,OSF-BRSP NFS-e-86,3502551
225,OSF-BRSP NFS-e-119,3558906
226,OSF-BRSP NFS-e-117,3558908
227,OSF-BRSP NFS-e-120,3560149
228,OSF-BRSP NFS-e-121,3560049
229,OSF-BRSP NFS-e-124,3562446
230,OSF-BRSP NFS-e-122,3560249
231,OSF-BRSP NFS-e-82,3457849
232,OSF-BRSP NFS-e-138,3611769
233,OSF-BRSP NFS-e-92,3520565
234,OSF-BRSP NFS-e-125,3562756
235,OSF-BRSP NFS-e-126,3596214
236,OSF-BRSP NFS-e-127,3596112
237,OSF-BRSP NFS-e-109,3555708
238,OSF-BRSP NFS-e-130,3596115
239,OSF-BRSP NFS-e-133,3612430
240,OSF-BRSP NFS-e-128,3596113
241,OSF-BRSP NFS-e-129,3596114
242,OSF-BRSP NFS-e-139,3612640
243,OSF-BRSP NFS-e-137,3611973
244,OSF-BRSP NFS-e-151,3648075
245,OSF-BRSP NFS-e-142,3639860
246,OSF-BRSP NFS-e-134,3612071
247,OSF-BRSP NFS-e-87,3502548
248,OSF-BRSP NFS-e-88,3502549
249,OSF-BRSP NFS-e-107,3553998
250,OSF-BRSP NFS-e-108,3553999
251,OSF-BRSP NFS-e-96,3548568
252,OSF-BRSP NFS-e-146,3612846
253,OSF-BRSP NFS-e-149,3646593
254,OSF-BRSP NFS-e-140,3632109
255,OSF-BRSP NFS-e-104,3553795
256,OSF-BRSP NFS-e-105,3553896
257,OSF-BRSP NFS-e-97,3539187
258,OSF-BRSP NFS-e-145,3646478
259,OSF-BRSP NFS-e-158,3611975
260,OSF-BRSP NFS-e-159,3650563
261,OSF-BRSP NFS-e-156,3647856
262,OSF-BRSP NFS-e-154,3647655
263,OSF-BRSP NFS-e-169,3657631
264,OSF-BRSP NFS-e-153,3648378
265,OSF-BRSP NFS-e-170,3657732
266,OSF-BRSP NFS-e-155,3647656
267,OSF-BRSP NFS-e-157,3647956
268,OSF-BRSP NFS-e-147,3645939
269,OSF-BRSP NFS-e-148,3646039
270,OSF-BRSP NFS-e-160,3650663
271,OSF-BRSP NFS-e-161,3653852
272,OSF-BRSP NFS-e-144,3611974
273,OSF-BRSP NFS-e-167,3656841
274,OSF-BRSP NFS-e-168,3656942
275,OSF-BRSP NFS-e-166,3656941
276,OSF-BRSP NFS-e-150,3646594
277,OSF-BRSP NFS-e-136,3611971
278,OSF-BRSP NFS-e-106,3554000
279,OSF-BRSP NFS-e-171,3662796
280,OSF-BRSP NFS-e-172,3662897
281,OSF-BRSP NFS-e-163,3653952
282,OSF-BRSP NFS-e-143,3640414
283,OSF-BRSP NFS-e-141,3632944
284,OSF-BRSP NFS-e-185,3710044
285,OSF-BRSP NFS-e-176,3700659
286,OSF-BRSP NFS-e-179,3700656
287,OSF-BRSP NFS-e-178,3700657
288,OSF-BRSP NFS-e-186,3709838
289,OSF-BRSP NFS-e-177,3700658
290,OSF-BRSP NFS-e-181,3700654
291,OSF-BRSP NFS-e-180,3700655
292,OSF-BRSP NFS-e-135,3611770
293,OSF-BRSP NFS-e-187,3709837
294,OSF-BRSP NFS-e-184,3709839
295,OSF-BRSP NFS-e-200,3727179
296,OSF-BRSP NFS-e-190,3721508
297,OSF-BRSP NFS-e-239,3766296
298,OSF-BRSP NFS-e-240,3766297
299,OSF-BRSP NFS-e-241,3766298
300,OSF-BRSP NFS-e-193,3718358
301,OSF-BRSP NFS-e-201,3727072
302,OSF-BRSP NFS-e-203,3727074
303,OSF-BRSP NFS-e-194,3718354
304,OSF-BRSP NFS-e-195,3718355
305,OSF-BRSP NFS-e-205,3718356
306,OSF-BRSP NFS-e-217,3746931
307,OSF-BRSP NFS-e-208,3745090
308,OSF-BRSP NFS-e-209,3742407
309,OSF-BRSP NFS-e-214,3745313
310,OSF-BRSP NFS-e-215,3746932
311,OSF-BRSP NFS-e-216,3747031
312,OSF-BRSP NFS-e-165,3656940
313,OSF-BRSP NFS-e-223,3758916
314,OSF-BRSP NFS-e-220,3760727
315,OSF-BRSP NFS-e-221,3760728
316,OSF-BRSP NFS-e-211,3746933
317,OSF-BRSP NFS-e-213,3747132
318,OSF-BRSP NFS-e-212,3746934
319,OSF-BRSP NFS-e-222,3758915
320,OSF-BRSP NFS-e-198,3718357
321,OSF-BRSP NFS-e-232,3764465
322,OSF-BRSP NFS-e-226,3762198
323,OSF-BRSP NFS-e-227,3762499
324,OSF-BRSP NFS-e-228,3762299
325,OSF-BRSP NFS-e-231,3762500
326,OSF-BRSP NFS-e-234,3764789
327,OSF-BRSP NFS-e-235,3764790
328,OSF-BRSP NFS-e-229,3762298
329,OSF-BRSP NFS-e-230,3762398
330,OSF-BRSP NFS-e-252,3805584
331,OSF-BRSP NFS-e-224,3762944
332,OSF-BRSP NFS-e-225,3762945
333,OSF-BRSP NFS-e-233,3764668
334,OSF-BRSP NFS-e-242,3766511
335,OSF-BRSP NFS-e-199,3728263
336,OSF-BRSP NFS-e-79,3454208
337,OSF-BRSP NFS-e-236,3766299
338,OSF-BRSP NFS-e-237,3766300
339,OSF-BRSP NFS-e-238,3766301
340,OSF-BRSP NFS-e-175_01,3790259
341,OSF-BRSP NFS-e-175_02,3790159
342,OSF-BRSP NFS-e-175_03,3790160
343,OSF-BRSP NFS-e-175_04,3790158
344,OSF-BRSP NFS-e-207,3727075
345,OSF-BRSP NFS-e-246,3798302
346,OSF-BRSP NFS-e-247,3798303
347,OSF-BRSP NFS-e-248,3798402
348,OSF-BRSP NFS-e-259,3819404
349,OSF-BRSP NFS-e-260,3819405
350,OSF-BRSP NFS-e-262,3819406
351,OSF-BRSP NFS-e-263,3819407
352,OSF-BRSP NFS-e-264,3819408
353,OSF-BRSP NFS-e-245,3798301
354,OSF-BRSP NFS-e-253,3805585
355,OSF-BRSP NFS-e-275,3815728
356,OSF-BRSP NFS-e-204,3728363
